ein,total_revenue,program_expenses,tax_year,efficiency_ratio
05-0479488,14666567.0,15234839.0,2023,1.0387460814790537
05-0486136,110750.0,191579.0,2023,1.7298329571106095
05-0489479,3083605.0,2840166.0,2023,0.9210537666140767
06-0263565,43819122.0,42026722.0,2023,0.9590954834740869
06-0646768,740893645.0,676763697.0,2023,0.9134424374769742
06-0646780,4674496.0,4568542.0,2023,0.9773335991730445
06-0726055,2942141.0,2906007.0,2023,0.9877184676057333
06-0943869,804351.0,772862.0,2024,0.9608516679907155
06-0968557,4176174.0,4136691.0,2024,0.9905456525518334
06-1011060,2498787.0,3066735.0,2023,1.2272894808561114
06-1057356,3327569.0,3083114.0,2023,0.9265364594994123
06-1082115,1802866.0,1977514.0,2024,1.0968724242400711
06-1088834,2107959.0,1924006.0,2023,0.9127340712034722
06-1135250,1103171.0,899869.0,2023,0.8157112541935928
06-1253049,5763372.0,6725942.0,2023,1.1670150738144267
06-1275523,4622035.0,2931594.0,2023,0.6342647773112925
06-1422973,24916087.0,23194015.0,2023,0.9308851345718933
06-1445454,934737.0,1182447.0,2023,1.2650050228032057
06-1449234,3875201.0,5037600.0,2023,1.2999583763526072
06-1451581,1006183.0,1057288.0,2023,1.0507909594974274
06-1595283,1641262.0,1725719.0,2023,1.0514585727324461
06-1597902,4035294.0,3814080.0,2023,0.9451802024833879
06-1614518,5912005.0,3924423.0,2023,0.6638057647109568
06-1614992,1688027.0,1246985.0,2022,0.7387233735005424
06-1637790,1539625.0,5283146.0,2023,3.431449866038808
06-6068864,418855.0,318088.0,2023,0.7594227119170118
10-0000085,1874703.0,1959748.0,2023,1.0453645190731544
11-1352310,760584528.0,690245184.0,2023,0.9075193598994693
11-1797183,10294680.0,10047536.0,2023,0.9759930371803689
11-1839362,1083169315.0,1059552480.0,2023,0.9781965435385326
11-2245076,982661.0,1001293.0,2023,1.0189607606285382
11-2249649,4484188.0,5571396.0,2023,1.2424537062228436
11-2431586,8394564.0,2069061.0,2023,0.24647629108551677
11-2442377,7699997.0,7977583.0,2023,1.0360501439156404
11-2454790,23762971.0,23355210.0,2023,0.9828404874121169
11-2467267,1727111.0,1727643.0,2023,1.0003080288412267
11-2526241,29206283.0,28781860.0,2023,0.9854680926018555
11-2575794,2187316.0,2106773.0,2023,0.9631772455374532
11-2588802,12392882.0,12214684.0,2023,0.9856209395038217
11-2594653,16542973.0,13686064.0,2023,0.8273037742369524
11-2600290,1139518.0,1512780.0,2023,1.3275613022348045
11-2737223,3797923.0,2705836.0,2022,0.712451516262968
11-2783877,10225278.0,9584891.0,2023,0.9373721672897304
11-2857055,5679080.0,7602678.0,2023,1.3387164822471245
11-2882421,1519530.0,1668909.0,2023,1.0983060551617934
11-2911043,1229348.0,1268378.0,2023,1.031748536622665
11-3032104,1691137.0,1247370.0,2023,0.7375925191158375
11-3091853,1580261.0,1794270.0,2023,1.1354263631134351
11-3200785,1636307.0,1967810.0,2023,1.2025921786070706
11-3279298,2700258.0,1491060.0,2023,0.5521916794617403
11-3342182,1273769.0,1389276.0,2023,1.090681277374469
11-3394747,7663952.0,7234448.0,2023,0.943957895352163
11-3427959,3942853.0,4072914.0,2023,1.0329865201669959
11-3488520,10661081.0,10315632.0,2023,0.9675971883151436
11-3491234,1261440.0,1542620.0,2023,1.222903982749873
11-3517199,2064446.0,1619726.0,2023,0.7845814325005352
11-3590740,1527450.0,1571404.0,2023,1.0287760646829684
11-3755386,1933554.0,2156428.0,2023,1.1152664988927126
13-0429660,24322488.0,23377060.0,2023,0.9611294699785647
13-1624070,1952059400.0,1907423609.0,2023,0.9771339996108726
13-1624096,3946842937.0,3940977020.0,2023,0.998513769842471
13-1628183,1381967.0,3338656.0,2023,2.415872448473806
13-1644147,378167827.0,445964327.0,2023,1.1792762238338166
13-2564957,7577686.0,7874158.0,2023,1.0391243448197773
13-2621497,85622933.0,103022637.0,2023,1.203213127492374
13-2709826,3038815.0,2834304.0,2023,0.9327004111800159
13-2710179,34464799.0,26249865.0,2023,0.761642770642591
13-2720769,4902829.0,4367615.0,2023,0.8908356787479229
13-2731443,3188869.0,3151699.0,2023,0.9883438297402621
